segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;Etiquetas
0.03;0.5652396082878113;0.22479122877120972;-0.5866043567657471;0.4178193211555481;0.6071484088897705;-0.4179686903953552;0.40171658992767334;0.07908952236175537;0.16939178109169006;0.14920268952846527;0.7785160541534424;-0.532755970954895;0.15429304540157318;-0.017857491970062256;0.27200716733932495;-0.11232662200927734;0.5088704824447632;-0.20801380276679993;-0.10983207821846008;0.13002106547355652;0.2116866260766983;-0.540833592414856;0.4858109652996063;-0.3000718057155609;-0.5207493305206299;0.10524283349514008;0.1676955372095108;0.6253320395946502;0.28354418873786924;-0.6269427463412285;-0.1675058789551258;0.7646128833293915;-0.843608170747757;0.029945301823318005;-0.008089229464530945;-0.4071928858757019;-0.9956921140352885;0.4279841085275014;-0.010516320665677389;-0.9764496882756551;0.07575060923894246;0.2548297519485156;acercandose
0.07;0.5671983361244202;0.22458593547344208;-10.172.885.656.356.800;0.4144373834133148;0.6073653697967529;-0.5566801428794861;0.4001502990722656;0.07582172751426697;-0.13916775584220886;0.1419004648923874;0.7804930210113525;-0.5990225076675415;0.1543744057416916;-0.037143949419260025;0.0459691546857357;-0.12545663118362427;0.5043291449546814;-0.17537888884544373;-0.11617188900709152;0.12159224599599838;0.17889010906219482;-0.4957192838191986;0.45137864351272583;-0.374931663274765;-0.4738354980945587;0.08916354924440384;-0.052120450884103775;0.6262580931186676;0.2835820779204369;-10.410.463.571.548.400;-0.17242609150707722;0.7332038879394531;-10.286.792.069.673.500;0.012008276884444058;-0.005404195515438914;-0.618100181221962;-0.9498861233393351;0.427900771299998;-0.09802059332529704;-0.9305940270423889;0.05485087881485621;0.028444483876228333;acercandose
0.1;0.5694943070411682;0.2243056446313858;-11.120.405.197.143.500;0.41284996271133423;0.6069042086601257;-0.5395956039428711;0.3992977738380432;0.05873626098036766;-0.3005809485912323;0.1387166678905487;0.7799299359321594;-0.5416478514671326;0.14964866638183594;-0.06824566423892975;-0.07820536196231842;-0.1282673478126526;0.5008214116096497;-0.12614181637763977;-0.11963606625795364;0.10623543709516525;0.12944379448890686;-0.4930756688117981;0.44326505064964294;-0.3580942749977112;-0.4716728627681732;0.07694263011217117;-0.13185682892799377;0.6272774577140808;0.2834763690829277;-11.289.527.058.601.300;-0.1722169890999794;0.7185368835926056;-0.978132426738739;-0.061403879430145025;-0.006207504076883197;-0.6428818851709366;-0.9443692962328593;0.4303847352663676;-0.08271532009045283;-0.9250910878181458;0.04518445829550425;-0.034283136328061424;acercandose
0.13;0.5720608234405518;0.2242577224969864;-1.054.892.659.187.310;0.41041436791419983;0.6067364811897278;-0.5127712488174438;0.39819473028182983;0.053806718438863754;-0.27959495782852173;0.13370095193386078;0.7796263098716736;-0.5112090706825256;0.14496822655200958;-0.08141300827264786;-0.07290761917829514;-0.13293404877185822;0.49961069226264954;-0.11129769682884216;-0.12469418346881866;0.0976172611117363;0.11465267837047577;-0.4995670020580292;0.44480302929878235;-0.3492221534252167;-0.4778808355331421;0.0732928067445755;-0.14354008436203003;0.6286361694335938;0.28330287635326384;-10.709.094.107.151.000;-0.17183717526495457;0.6981895565986633;-0.9840689301490784;-0.09950605314224958;-0.013760655943769962;-0.6464777737855911;-0.9511637290318807;0.43307510018348694;-0.06590219090382259;-0.9319586753845215;0.043165394415458046;-0.0494346022605896;acercandose
0.17;0.5740564465522766;0.22409990429878235;-10.054.130.554.199.200;0.4091204106807709;0.6068286895751953;-0.5004399418830872;0.394686758518219;0.050190459936857224;-0.26228654384613037;0.127310112118721;0.7834212183952332;-0.4948965013027191;0.13337981700897217;-0.07572530955076218;-0.06020446866750717;-0.13720382750034332;0.5066368579864502;-0.10880652815103531;-0.13255594670772552;0.09895507991313934;0.11220628768205643;-0.5223042964935303;0.4711599051952362;-0.31195393204689026;-0.49892622232437134;0.09146160632371902;-0.16371455788612366;0.6301311075687408;0.282600474357605;-10.230.226.695.537.500;-0.1728992871940136;0.7025992274284363;-0.9767986536026001;-0.13849715143442154;-0.027841903967782855;-0.6377304643392563;-0.9707661271095276;0.45524489879608154;-0.03779322902361552;-0.9566829999287924;0.07367513080437978;-0.07002746562163036;acercandose
0.2;0.5740445256233215;0.22357824444770813;-10.623.842.477.798.400;0.4066149592399597;0.6068297028541565;-0.5237302780151367;0.3948046863079071;0.04975792020559311;-0.2543001174926758;0.1233103945851326;0.7840250134468079;-0.5048678517341614;0.13313095271587372;-0.0779564306139946;-0.02418767288327217;-0.13925932347774506;0.49064838886260986;-0.12166439741849899;-0.13154765963554382;0.07870816439390182;0.12519387900829315;-0.5222365260124207;0.4286089837551117;-0.3107320964336395;-0.4918158948421478;0.03363744169473648;-0.12193936854600906;0.6303644478321075;0.28172069787979126;-10.827.598.333.358.700;-0.17254210263490677;0.6990183889865875;-0.9928771406412125;-0.10500272642821074;-0.03238304518163204;-0.6135710924863815;-0.9700203736623129;0.38866133491198224;-0.02809031804402669;-0.9485179980595907;0.0035801969352178276;-0.015179226795832316;acercandose
0.23;0.5767146944999695;0.22222664952278137;-10.000.892.877.578.700;0.404937744140625;0.6068259477615356;-0.5361112356185913;0.39485979080200195;0.050163015723228455;-0.2067737877368927;0.11499644070863724;0.7956129312515259;-0.5851958394050598;0.1294247806072235;-0.08215691894292831;-0.0011910779867321253;-0.140580415725708;0.48930126428604126;-0.13056831061840057;-0.13142837584018707;0.07780589163303375;0.13475023210048676;-0.5460930466651917;0.4295009970664978;-0.33447736501693726;-0.5108126997947693;0.036436475813388824;-0.11284371465444565;0.6325244426727294;0.280691958963871;-10.215.275.645.256.000;-0.1725421641021967;0.6735877841711044;-10.456.748.008.728.000;-0.11335237883031368;-0.03911264752969146;-0.6214788407087326;-0.9970967372258505;0.37007638812065125;-0.05672737956047058;-0.9687710603078207;-0.0023995174560695887;-0.012907360990842184;acercandose
0.27;0.5799600481987;0.22146791219711304;-10.624.372.959.136.900;0.4029548466205597;0.6070951223373413;-0.552464485168457;0.3948897123336792;0.04690738767385483;-0.27129578590393066;0.10711187869310379;0.81197190284729;-0.6055151224136353;0.12303769588470459;-0.09833083301782608;-0.09326082468032837;-0.1468091905117035;0.48899614810943604;-0.13362658023834229;-0.13689926266670227;0.07421991229057312;0.13754571974277496;-0.5443286299705505;0.4291061460971832;-0.2922845780849457;-0.5105031728744507;0.03329705074429512;-0.09877673536539078;0.6354073047637939;0.28026377111673356;-10.774.352.729.320.500;-0.1718735732138157;0.6491861045360565;-11.094.672.083.854.600;-0.12027406133711338;-0.05094115948304534;-0.7516420781612396;-0.9952414234479269;0.37657663226127625;0.07005295157432556;-0.9654378096262614;0.002437191918337097;0.13264400760332742;acercandose
0.3;0.58269864320755;0.21971146762371063;-10.501.984.357.833.800;0.4020247161388397;0.6072037220001221;-0.5289401412010193;0.39492878317832947;0.03158732131123543;-0.2596345543861389;0.10357881337404251;0.8171413540840149;-0.5626901388168335;0.12420324236154556;-0.11708434671163559;-0.16759774088859558;-0.15026424825191498;0.48068973422050476;-0.12041738629341125;-0.13852231204509735;0.05958116427063942;0.12425591796636581;-0.5430586934089661;0.41230496764183044;-0.2592793107032776;-0.5090962648391724;0.015694212168455124;-0.12337738275527954;0.6373694956302642;0.2797109752893448;-1.061.461.877.822.870;-0.17111811228096485;0.6563341617584229;-10.562.205.761.671.000;-0.10684042237699032;-0.05556980753317475;-0.9282386153936386;-0.994150698184967;0.35759114225705463;0.08107087016105652;-0.9646742741266886;-0.024006612598896027;0.059030612309773765;acercandose
0.33;0.5870645046234131;0.21972404420375824;-10.212.451.219.558.700;0.4020971357822418;0.6077279448509216;-0.48830780386924744;0.3968473970890045;0.017085207626223564;-0.22769278287887573;0.10536107420921326;0.8247202038764954;-0.5308824777603149;0.1253460794687271;-0.11376672238111496;-0.16860292851924896;-0.15008175373077393;0.47967618703842163;-0.1074872612953186;-0.13918617367744446;0.05697350203990936;0.111429862678051;-0.5431786179542542;0.41609370708465576;-0.26642024517059326;-0.5088410377502441;0.02188924327492714;-0.17830370366573334;0.6413531124591827;0.28015459775924684;-1.035.177.516.937.250;-0.18057804740965366;0.7109427601099014;-10.392.197.519.540.700;-0.08385576494038105;-0.031207198044285178;-0.9581470340490341;-0.9938160379727682;0.361931045850118;0.08087503910064697;-0.9653178254763285;-0.016628957974414032;-0.010233546296755472;acercandose
