segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;Etiqueta
8.93;0.46481698751449585;0.046754494309425354;-0.2656722664833069;0.5306320190429688;0.15854103863239288;-0.12114999443292618;0.4186514914035797;0.1515941172838211;-0.08837912976741791;0.5510135293006897;0.30196669697761536;-0.06708501279354095;0.40067577362060547;0.30459699034690857;-0.025132980197668076;0.5060214996337891;0.4545347988605499;-0.006181926932185888;0.440280020236969;0.4511187970638275;0.006114359013736248;0.5091290473937988;0.6770504713058472;-0.006111182738095522;0.4388580918312073;0.6645693182945251;0.0125522930175066;0.4726769119501114;0.01645868201740086;-0.2704212352633476;0.5711368024349213;0.4640553146600723;-0.1955176219344139;0.36360355466604233;0.46536513417959213;-0.1492895483970642;0.5207706689834595;0.9111528793970743;0.0850975839421153;0.42887386679649353;0.900912364323934;0.12801668544610342;vertical
8.97;0.4627423882484436;0.04574429243803024;-0.2711276412010193;0.5305148959159851;0.1584935039281845;-0.12354753911495209;0.4183681905269623;0.15244731307029724;-0.09232458472251892;0.5510440468788147;0.3016650080680847;-0.06768052279949188;0.4006919264793396;0.30510759353637695;-0.028691619634628296;0.5060310959815979;0.45598873496055603;-0.006648837588727474;0.4403027892112732;0.4531663656234741;0.00658692279830575;0.5094591975212097;0.6773791909217834;-0.005289227701723576;0.43890371918678284;0.6693512201309204;0.022233929485082626;0.47083854079246523;0.015137172071263194;-0.2758480295538902;0.5712027698755264;0.46374978870153427;-0.19515100121498108;0.3636683449149132;0.4657123014330864;-0.15389104187488556;0.5207763512929281;0.9112070401509603;0.09065868027559532;0.4287974735101064;0.9011572996775309;0.1501887639363607;vertical
9.0;0.4606982171535492;0.045779094099998474;-0.275413453578949;0.5303874015808105;0.15844835340976715;-0.12541063129901886;0.4178115427494049;0.15359099209308624;-0.09635227173566818;0.5510686635971069;0.30167341232299805;-0.06879225373268127;0.4006638526916504;0.30683812499046326;-0.03228844329714775;0.5060837268829346;0.4572891592979431;-0.0068158418871462345;0.44042640924453735;0.45504650473594666;0.006758554372936487;0.5095987915992737;0.6787830591201782;-0.0036443937569856644;0.4389190673828125;0.6724194884300232;0.026466768234968185;0.4691398084163666;0.015150119410827756;-0.28020089864730835;0.5713940262794495;0.46281230449676514;-0.20157859101891518;0.36368826776742935;0.46664389967918396;-0.1554631758481264;0.5209160844484965;0.911310096581777;0.09458087213958304;0.42878827452659607;0.9013445576032003;0.15629583100477853;vertical
9.03;0.45884713530540466;0.04744255915284157;-0.2755381166934967;0.529499888420105;0.15803386270999908;-0.13024462759494781;0.4171544015407562;0.155108243227005;-0.0977044478058815;0.5510767698287964;0.3015197813510895;-0.06953146308660507;0.40019363164901733;0.30806419253349304;-0.03415793552994728;0.5061601996421814;0.457270085811615;-0.007639897055923939;0.4404519498348236;0.4553000032901764;0.0075785135850310326;0.5096047520637512;0.6798754930496216;-0.003694811835885048;0.4389273226261139;0.6732091307640076;0.02469998225569725;0.4663785368204117;0.017312107048928736;-0.28314759880304335;0.5718175321817398;0.4616568982601166;-0.19463058188557625;0.36376412212848663;0.46769097447395325;-0.15751491114497185;0.5209413766860962;0.9114211400349935;0.09434712996395926;0.4287699560324351;0.9019503196080526;0.1487443745136261;vertical
9.07;0.4563175141811371;0.04811882600188255;-0.2842368483543396;0.526983380317688;0.156789630651474;-0.14039212465286255;0.415689080953598;0.15777245163917542;-0.10900404304265976;0.5506280660629272;0.300748348236084;-0.07602276653051376;0.39928627014160156;0.3132614493370056;-0.047652214765548706;0.5061460733413696;0.45676520466804504;-0.008499701507389545;0.44056686758995056;0.4552452862262726;0.00843334011733532;0.5093607306480408;0.679874062538147;-0.006985368672758341;0.4392678737640381;0.6728613972663879;0.02492041140794754;0.4629048556089401;0.018650399520993233;-0.29241562336683274;0.5721024423837662;0.4596635550260544;-0.1917615421116352;0.3635334149003029;0.4718332886695862;-0.1702064946293831;0.5209129850069681;0.9115481972694397;0.08542049885727465;0.428899625937144;0.9024273753166199;0.14571611334880194;vertical
9.1;0.4536913335323334;0.048605505377054214;-0.3023213744163513;0.5248223543167114;0.15548594295978546;-0.15121351182460785;0.4139174520969391;0.16075313091278076;-0.12416555732488632;0.550087571144104;0.30017009377479553;-0.08235407620668411;0.3978530764579773;0.3178214728832245;-0.061053283512592316;0.5060155987739563;0.4560639560222626;-0.00859234482049942;0.4406110346317291;0.45522958040237427;0.008519148454070091;0.5090228319168091;0.6787666082382202;-0.00666192639619112;0.4393959641456604;0.668818473815918;0.025142226368188858;0.45974835455417634;0.01961553767323494;-0.3100506827235222;0.5721557289361954;0.4578615725040436;-0.19208338111639023;0.3631969019770622;0.4756392240524292;-0.18320293352007866;0.5200563470522562;0.9112745722134908;0.08690840385437089;0.4292477071285248;0.9021113316218058;0.14583149800697962;vertical
9.14;0.4489273130893707;0.04858682304620743;-0.30055680871009827;0.5223817825317383;0.15368539094924927;-0.14908051490783691;0.41244572401046753;0.1618589162826538;-0.12080365419387817;0.5493178963661194;0.2982235550880432;-0.08339741080999374;0.3972310423851013;0.3198208808898926;-0.05835438892245293;0.5058051943778992;0.4540077745914459;-0.009104345925152302;0.4408973753452301;0.4548373818397522;0.009027944877743721;0.5089393854141235;0.6780424118041992;-0.006774118635803461;0.43996983766555786;0.6675176024436951;0.02569943107664585;0.4543982982635498;0.019792717043310405;-0.3071948692202568;0.5723103880882263;0.4549821764230728;-0.19234155490994453;0.3627437353134155;0.477862611413002;-0.18112974613904953;0.5197178324063619;0.9106237490971884;0.0868575350092821;0.42934290568033856;0.9020698070526123;0.14470897490779558;vertical
9.17;0.44713664054870605;0.04856492206454277;-0.29428625106811523;0.5194994807243347;0.1521296203136444;-0.14686502516269684;0.41013050079345703;0.16273652017116547;-0.12025676667690277;0.5479984879493713;0.2956472337245941;-0.07798487693071365;0.39657163619995117;0.32151052355766296;-0.05630116909742355;0.5057781934738159;0.4521946907043457;-0.009789361618459225;0.4412814676761627;0.4545985758304596;0.00970426108688116;0.508791446685791;0.677790641784668;-0.006605756934732199;0.4402139186859131;0.6673328876495361;0.026683907955884933;0.4520781397819519;0.01973683722317219;-0.3011396452784538;0.5726491957902908;0.4515339955687523;-0.18320240825414658;0.36209313571453094;0.47973567247390747;-0.17943760752677917;0.519268641869227;0.9102282126744589;0.08763964707031846;0.4294687906901042;0.9019530216852824;0.14431601266066232;vertical
9.2;0.4442692697048187;0.0489470474421978;-0.2806445062160492;0.517123818397522;0.15038353204727173;-0.13267913460731506;0.4081607460975647;0.16304248571395874;-0.10550302267074585;0.5473939776420593;0.292752742767334;-0.06771448254585266;0.39592358469963074;0.3214726448059082;-0.04534871131181717;0.5056496262550354;0.45170310139656067;-0.01022082008421421;0.44144901633262634;0.4546589255332947;0.01014689914882183;0.5089178085327148;0.6779488921165466;-0.00859293807297945;0.44021567702293396;0.6706439256668091;0.02621420845389366;0.4486076205968857;0.020069879293441773;-0.2876169681549072;0.5729343593120575;0.4477050006389618;-0.18301581218838692;0.362014465034008;0.4796418622136116;-0.1765349879860878;0.5193321406841278;0.9102867643038431;0.08353358398502071;0.42942410707473755;0.9021008809407552;0.14355935404698053;vertical
9.24;0.44201135635375977;0.04915102198719978;-0.30503612756729126;0.5147700905799866;0.14810433983802795;-0.14550495147705078;0.40506690740585327;0.163508802652359;-0.12934724986553192;0.5469726324081421;0.29093971848487854;-0.07420670986175537;0.3939131200313568;0.32333698868751526;-0.06731380522251129;0.505824625492096;0.45024701952934265;-0.008418885990977287;0.44150310754776;0.45403778553009033;0.00833231583237648;0.5096214413642883;0.6777493357658386;-0.003987867385149002;0.44022074341773987;0.6683132648468018;0.02842516079545021;0.44619351625442505;0.019708179775625466;-0.3124331146478653;0.5733805000782013;0.44504742324352264;-0.18676277995109558;0.36138610541820526;0.48169346153736115;-0.19115539640188217;0.5195954839388529;0.9102368156115214;0.0895457190927118;0.4295368194580078;0.900720477104187;0.15357334911823273;vertical
