segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z
0.03;0.48933595418930054;0.20437996089458466;-0.2119254469871521;0.524222731590271;0.26554036140441895;-0.08183763921260834;0.4634779095649719;0.2610779106616974;-0.09181970357894897;0.5375043749809265;0.353903204202652;-0.033681850880384445;0.4506347179412842;0.3502524197101593;-0.05806202441453934;0.5107718110084534;0.42990386486053467;0.0030163307674229145;0.47345665097236633;0.43124744296073914;-0.0030721439979970455;0.5081446766853333;0.5514127612113953;-0.06499409675598145;0.47476646304130554;0.5646675229072571;-0.014467333443462849;0.4958346486091614;0.1864152193069458;-0.2135876640677452;0.5584444254636765;0.44619426131248474;-0.11170371808111668;0.4257977083325386;0.4408282935619354;-0.1353029403835535;0.49997567137082416;0.6929600834846497;-0.01531895063817501;0.47712963819503784;0.6953986684481303;0.04712535006304582
0.07;0.48954853415489197;0.2042047530412674;-0.24473276734352112;0.5241281986236572;0.2636096477508545;-0.10444728285074234;0.46397799253463745;0.25919586420059204;-0.10883108526468277;0.5374687910079956;0.3499329686164856;-0.04979928955435753;0.4505946636199951;0.3472033441066742;-0.0654023140668869;0.5107833743095398;0.4265665113925934;0.0014575785025954247;0.47393402457237244;0.42844095826148987;-0.0015200907364487648;0.5083280801773071;0.5501307249069214;-0.00869981199502945;0.47476649284362793;0.5619058012962341;-0.0019851091783493757;0.4958848118782043;0.18638675063848495;-0.2471550315618515;0.5617262572050095;0.4384305253624916;-0.13133016787469387;0.42356135696172714;0.4354393184185028;-0.14692234247922897;0.5009818077087402;0.6921384135882059;0.05357985384762287;0.4771072367827098;0.6949635942776998;0.06267054187871206
0.1;0.48971596360206604;0.20410847663879395;-0.25642338395118713;0.5241273641586304;0.26214516162872314;-0.11790063232183456;0.4641253650188446;0.25854426622390747;-0.11866297572851181;0.539696216583252;0.3450043797492981;-0.06753011047840118;0.44871994853019714;0.346500039100647;-0.07528946548700333;0.5108363032341003;0.4262147545814514;-4.879230255028233e-05;0.4741704761981964;0.4282718896865845;-1.8342851035413332e-05;0.5083850026130676;0.5500063300132751;0.0018784468993544579;0.474879652261734;0.5606920123100281;0.00565699115395546;0.4959131270647049;0.18636217415332795;-0.2586031064391136;0.5693201124668121;0.4336755648255348;-0.1491137519478798;0.41724950075149536;0.43139104545116425;-0.15686118975281715;0.5016625722249349;0.691574235757192;0.06403606485885878;0.4772079586982727;0.6942075689633688;0.0726548566793402
0.13;0.48992830514907837;0.20402581989765167;-0.25254350900650024;0.5241314172744751;0.26091551780700684;-0.1211739182472229;0.46430081129074097;0.25793030858039856;-0.11630526930093765;0.5445834398269653;0.3411756753921509;-0.07648557424545288;0.4457126557826996;0.34530553221702576;-0.07444952428340912;0.5109318494796753;0.42607295513153076;-0.001365586300380528;0.4743770956993103;0.4282659590244293;0.0012977680889889598;0.5083401799201965;0.5509167909622192;0.0032951273024082184;0.47499358654022217;0.5602569580078125;0.007301043253391981;0.4959829360246658;0.18635181933641434;-0.25474368780851364;0.575646162033081;0.4246373623609543;-0.1614903137087822;0.4103299006819725;0.42906714230775833;-0.15664996951818466;0.5018080274264017;0.6912790735562643;0.07103113799045484;0.47729642192522687;0.6934062639872233;0.07827086995045344
0.17;0.4905690550804138;0.20383945107460022;-0.2463470697402954;0.5245566964149475;0.2604242265224457;-0.118852399289608;0.46488311886787415;0.25731950998306274;-0.11159974336624146;0.5489903092384338;0.3370073735713959;-0.07530561089515686;0.44293704628944397;0.3417988717556;-0.07158718258142471;0.5112460851669312;0.42503097653388977;-0.0032966258004307747;0.4747077226638794;0.4273501932621002;0.0032356823794543743;0.5083187818527222;0.5510299801826477;-0.0033801838289946318;0.4749937355518341;0.5590744614601135;0.0068836575374007225;0.4962274879217148;0.18626916855573655;-0.24894847869873046;0.5835781544446945;0.4141596555709839;-0.16285168007016182;0.4049850255250931;0.41632404178380966;-0.1536356657743454;0.5019999742507935;0.6912303566932678;0.0567568598780781;0.4774058560530345;0.6932000319163004;0.07125439681112766
0.2;0.4913593530654907;0.20356540381908417;-0.25430622696876526;0.525223433971405;0.26011982560157776;-0.1267148107290268;0.4650988280773163;0.2567773759365082;-0.1193910613656044;0.5543676614761353;0.33416762948036194;-0.08915230631828308;0.43828415870666504;0.33761027455329895;-0.0846196860074997;0.5120561718940735;0.4243384599685669;-0.003567146835848689;0.47521892189979553;0.4266592264175415;0.0035060890950262547;0.5082852840423584;0.5509250164031982;0.004593907855451107;0.475012868642807;0.5582787990570068;0.011121485382318497;0.4965058624744415;0.18609509319067002;-0.2569424495100975;0.5932201445102692;0.40743864327669144;-0.17714156955480576;0.3949737399816513;0.40615829080343246;-0.1719466857612133;0.5022861262162527;0.6909504731496176;0.06930289355417092;0.4775017201900482;0.6932257016499838;0.0759243027617534
0.23;0.4917786419391632;0.2031635344028473;-0.18758158385753632;0.5255295634269714;0.2585170865058899;-0.08019668608903885;0.46515583992004395;0.25618693232536316;-0.05772263556718826;0.5576040744781494;0.32394224405288696;-0.061227984726428986;0.43550512194633484;0.32908108830451965;-0.019939769059419632;0.5124093294143677;0.4242636263370514;-0.005170064512640238;0.4757446050643921;0.42640191316604614;0.005149402655661106;0.5082830190658569;0.5511600375175476;0.00032548862509429455;0.47501444816589355;0.5572773218154907;0.010742091573774815;0.4967177987098694;0.18571542650461198;-0.1900088295340538;0.5937367677688599;0.3826131746172905;-0.1593063920736313;0.38996195793151855;0.3891357406973839;-0.1019296944141388;0.5025931894779205;0.6908231576283773;0.057236291361429416;0.4775833785533905;0.693427046140035;0.07281242590397596
0.27;0.4921298027038574;0.20282402634620667;-0.1990581750869751;0.5262448787689209;0.2574578523635864;-0.08717566728591919;0.4651496112346649;0.2551151216030121;-0.07171393930912018;0.5623148679733276;0.31811287999153137;-0.06437747180461884;0.43132561445236206;0.3209684193134308;-0.03858831524848938;0.5127379298210144;0.42422613501548767;-0.00549872312694788;0.4760637581348419;0.42604580521583557;0.0054941363632678986;0.5082840919494629;0.551116943359375;0.0022838886361569166;0.47501522302627563;0.5563719868659973;0.011799396015703678;0.4968967795372009;0.18533868342638016;-0.20220825970172882;0.6045357882976532;0.3692200481891632;-0.16525981202721596;0.38227633386850357;0.37122975289821625;-0.12208609282970428;0.5026586552460989;0.6907703876495361;0.05715825750182072;0.4776644806067149;0.6938093105951945;0.07153254561126232
0.3;0.49227192997932434;0.20239302515983582;-0.15657910704612732;0.5267578959465027;0.2557774782180786;-0.05652880296111107;0.4651299715042114;0.2544351816177368;-0.03676532581448555;0.5634205341339111;0.31163233518600464;-0.04661616310477257;0.4287051856517792;0.31374433636665344;-0.010007047094404697;0.5131149888038635;0.4237125515937805;-0.00640465272590518;0.4764411449432373;0.4258789122104645;0.006428803317248821;0.5083168745040894;0.550599992275238;-0.00011683125921990722;0.4750154912471771;0.5560635924339294;0.011378096416592598;0.49698983132839203;0.18487088829278947;-0.15848509818315507;0.6056727170944214;0.3506070375442505;-0.1608838513493538;0.38024958968162537;0.3550289571285248;-0.09089805744588375;0.5026284058888754;0.6904906431833903;0.05481786323556056;0.4776678482691447;0.6939412951469421;0.06687868076066177
0.33;0.4923846125602722;0.20185400545597076;-0.11212161183357239;0.5271967053413391;0.2549353539943695;-0.015508366748690605;0.4651223421096802;0.25366634130477905;0.0024267600383609533;0.565319299697876;0.30499017238616943;-0.005208504851907492;0.4279541075229645;0.3056139647960663;0.024594606831669807;0.5132462978363037;0.423589825630188;-0.007511980831623077;0.47662100195884705;0.4258762001991272;0.007574091665446758;0.5083184242248535;0.5510638952255249;-0.005014435388147831;0.4750075042247772;0.5561589002609253;0.009644739329814911;0.4970788210630417;0.18427794873714448;-0.11178043819963931;0.608447328209877;0.3386296033859253;-0.1018868163228035;0.3796932026743889;0.3404139131307602;-0.06086925882846117;0.5025131702423096;0.6907156507174174;0.05162843347837528;0.47762535015741986;0.6940621932347616;0.06391279088954131
