segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;;Etiqueta;Vista
0.03;0.5721554756164551;0.29338786005973816;-0.19681532680988312;0.6073964238166809;0.33889997005462646;-0.082124724984169;0.5491105318069458;0.3402964770793915;-0.0880172923207283;0.6217091679573059;0.41502895951271057;-0.041431836783885956;0.5446988344192505;0.4224391579627991;-0.05627227574586868;0.597869336605072;0.5008116364479065;0.0011136389803141356;0.5671022534370422;0.5034428238868713;-0.0011729736579582095;0.5938020348548889;0.6085494756698608;0.04769188538193703;0.5657272338867188;0.6094436645507812;0.043195027858018875;0.5768645823001861;0.27440780103206636;-0.1992248684167862;0.6205492168664932;0.49556946754455566;-0.1338354591280222;0.5535530000925064;0.5108832865953445;-0.13711907155811787;0.5872366031010946;0.7137582500775655;0.19690841436386108;0.5695555210113525;0.7130679488182068;0.1831327279408773;;acercandose;frontal
0.07;0.5725400447845459;0.2919316291809082;-0.18470731377601624;0.6072230339050293;0.3388311266899109;-0.07073532789945602;0.5491028428077698;0.3403167426586151;-0.08199319988489151;0.6210964322090149;0.415260374546051;-0.04123761132359505;0.5448606610298157;0.4224744141101837;-0.056119535118341446;0.5981132984161377;0.4981576204299927;0.0008949394687078893;0.5673031806945801;0.5007486939430237;-0.0009440985741093755;0.5936537981033325;0.6074508428573608;0.027836356312036514;0.5662098526954651;0.6073335409164429;0.03785325959324837;0.577214926481247;0.27408039569854736;-0.18503643572330475;0.6202564686536789;0.4953729584813118;-0.14402776211500168;0.5535619407892227;0.5073548182845116;-0.13761331886053085;0.5872031251589457;0.7129712700843811;0.18305017054080963;0.5700966318448385;0.7112790942192078;0.1805981695652008;;acercandose;frontal
0.1;0.5728718638420105;0.291382372379303;-0.18316279351711273;0.607184886932373;0.33883512020111084;-0.06777834892272949;0.5490773916244507;0.3403822183609009;-0.07992209494113922;0.6204625964164734;0.4159241318702698;-0.0439135804772377;0.5448610782623291;0.4226236641407013;-0.05734558030962944;0.5981041193008423;0.4975363612174988;0.0004707520711235702;0.5673012137413025;0.49981701374053955;-0.0005082759307697415;0.5933977961540222;0.6073925495147705;0.023364977911114693;0.5663485527038574;0.607282280921936;0.03800315409898758;0.5774805843830109;0.2738278239965439;-0.18318382874131203;0.6198063492774963;0.49585484713315964;-0.15791836753487587;0.5536087900400162;0.5065649896860123;-0.14303341694176197;0.5871623953183492;0.7129717270533243;0.18019086619218191;0.5708383719126383;0.7103122075398763;0.18237508833408356;;acercandose;frontal
0.13;0.5731827616691589;0.2909204661846161;-0.17885631322860718;0.6071998476982117;0.3387947678565979;-0.06457041949033737;0.5491034388542175;0.34038248658180237;-0.07642563432455063;0.6199265718460083;0.41701093316078186;-0.04372018203139305;0.5446562170982361;0.42256778478622437;-0.0571960024535656;0.5980311036109924;0.4972052574157715;0.0004731810186058283;0.567283034324646;0.49896588921546936;-0.0005118150147609413;0.5932697653770447;0.6072934865951538;0.023422036319971085;0.5664408206939697;0.6072238087654114;0.03400938957929611;0.5777063488960266;0.2732956737279892;-0.1789154104888439;0.6193825900554657;0.4963511973619461;-0.15486109256744385;0.553650289773941;0.5060391873121262;-0.14237160608172417;0.5872197151184082;0.7131541967391968;0.1714808071653048;0.5713093082110087;0.7101376454035441;0.17258014033238092;;acercandose;frontal
0.17;0.573285698890686;0.2908748388290405;-0.1824878603219986;0.6072137355804443;0.33878546953201294;-0.06771794706583023;0.5491326451301575;0.34034067392349243;-0.07826349139213562;0.619367778301239;0.417840838432312;-0.04408864676952362;0.5444401502609253;0.4223821759223938;-0.0574316531419754;0.5978868007659912;0.49672219157218933;0.00047686841571703553;0.567248523235321;0.49810782074928284;-0.0005158169660717249;0.5931566953659058;0.6072990298271179;0.019894061610102654;0.5664572715759277;0.6072582602500916;0.03153868392109871;0.5777663469314576;0.27312903106212616;-0.1831894963979721;0.6190782785415649;0.4966810569167137;-0.15274694189429283;0.5536430329084396;0.505593828856945;-0.14181231148540974;0.5872476895650228;0.7132222453753153;0.17005589852730432;0.5716908176740011;0.7100531856218973;0.1707517405351003;;acercandose;frontal
0.2;0.5736307501792908;0.29070156812667847;-0.18366937339305878;0.6073278784751892;0.33880284428596497;-0.06930390745401382;0.5492993593215942;0.3402892053127289;-0.07902603596448898;0.6191040873527527;0.4188174605369568;-0.04354855418205261;0.5442644357681274;0.42204999923706055;-0.05779718980193138;0.5977879762649536;0.49650469422340393;0.000479311915114522;0.5671713948249817;0.4978204071521759;-0.0005184735055081546;0.5930043458938599;0.6072973012924194;0.020739687606692314;0.566483199596405;0.6076400279998779;0.03138769045472145;0.5779735028743744;0.2729268133640289;-0.18464732244610788;0.618701845407486;0.4968307465314865;-0.15078135579824448;0.5533710420131683;0.5053067952394485;-0.14150603115558624;0.5872863133748373;0.7128838102022806;0.17215685298045477;0.571925679842631;0.7101651231447855;0.1708972528576851;;acercandose;frontal
0.23;0.5737832188606262;0.2905721068382263;-0.1801610141992569;0.6073805093765259;0.3388371467590332;-0.06704621762037277;0.5495336055755615;0.3402813673019409;-0.0748901292681694;0.6185688972473145;0.4197309911251068;-0.04168716073036194;0.5442166924476624;0.4219053387641907;-0.05257587134838104;0.5974240303039551;0.496432900428772;0.0004042859363835305;0.5668943524360657;0.49768686294555664;-0.00044410390546545386;0.5928378701210022;0.6072841286659241;0.016392959281802177;0.5665075778961182;0.6077648401260376;0.028930822387337685;0.5780685186386109;0.272789391875267;-0.18127603232860565;0.618431806564331;0.49732405692338943;-0.14559755846858025;0.55275759100914;0.5054124891757965;-0.13316401094198227;0.5872918367385864;0.7127635876337687;0.1634726201494535;0.5719958345095316;0.7102583646774292;0.16495885451634726;;acercandose;frontal
0.27;0.5738299489021301;0.2907505929470062;-0.176602303981781;0.6074016690254211;0.33884721994400024;-0.06481662392616272;0.5496299266815186;0.3402746319770813;-0.07195810228586197;0.6179316639900208;0.4204643666744232;-0.03938499465584755;0.5442175269126892;0.4219040870666504;-0.04848584905266762;0.5971670150756836;0.49648216366767883;0.00014115797239355743;0.5665781497955322;0.4976968765258789;-0.0001824621722334996;0.5927363038063049;0.6072670221328735;0.013858645223081112;0.5665121078491211;0.6077921390533447;0.027400854974985123;0.5781324565410614;0.2729075402021408;-0.17810580879449844;0.6178213506937027;0.4980032593011856;-0.1419198140501976;0.5518941879272461;0.5055469870567322;-0.1289053987711668;0.5871718128522238;0.7129538853963217;0.15599137544631958;0.571945071220398;0.7102728088696798;0.16121855874856314;;acercandose;frontal
0.3;0.5738232731819153;0.29099294543266296;-0.17463037371635437;0.6074551343917847;0.33884838223457336;-0.06587914377450943;0.5497297048568726;0.3403158485889435;-0.06915199756622314;0.6178528666496277;0.420712947845459;-0.040971219539642334;0.5442435145378113;0.42191123962402344;-0.04433571547269821;0.5970855355262756;0.49648693203926086;-0.0009822763968259096;0.5665146708488464;0.49770525097846985;0.0009418105473741889;0.5926985740661621;0.6070425510406494;0.00916086696088314;0.5665307641029358;0.6078099012374878;0.02602923847734928;0.5781504511833191;0.2730794489383698;-0.17629688158631324;0.6167973428964615;0.49865829199552536;-0.14283234626054764;0.5505560487508774;0.5057265013456345;-0.12474897503852844;0.5870429674784342;0.7130686044692993;0.14610432088375092;0.571825365225474;0.7102535168329874;0.1550240566333135;;acercandose;frontal
0.33;0.5738958716392517;0.2912568747997284;-0.17329925298690796;0.6075712442398071;0.3388390839099884;-0.06596601009368896;0.5498534440994263;0.34031787514686584;-0.06780452281236649;0.617596447467804;0.42085111141204834;-0.04082895815372467;0.5443956851959229;0.421913206577301;-0.04244183003902435;0.5969672203063965;0.496655136346817;-0.0018534957198426127;0.566483736038208;0.4977344572544098;0.0018176160519942641;0.5927014946937561;0.6070245504379272;0.008240331895649433;0.5665442943572998;0.6079719662666321;0.026815559715032578;0.5782298982143402;0.2731766223907471;-0.1751852735877037;0.6146175861358643;0.5007699280977249;-0.1412078496068716;0.5498580634593964;0.5057942718267441;-0.12460014782845974;0.586957573890686;0.7131395936012268;0.1472348521153132;0.5717911521593729;0.7102299531300863;0.1568541576464971;;acercandose;frontal
0.37;0.5740277767181396;0.29152974486351013;-0.17366105318069458;0.6076725125312805;0.33873623609542847;-0.06872183829545975;0.5499559044837952;0.34031572937965393;-0.06836936622858047;0.6174825429916382;0.42078009247779846;-0.043608974665403366;0.5446003675460815;0.42191416025161743;-0.04469713568687439;0.5969139933586121;0.4966717064380646;-0.002067186404019594;0.5664780735969543;0.49778300523757935;0.0020316315349191427;0.5927024483680725;0.6068591475486755;0.00969378650188446;0.56657874584198;0.6080233454704285;0.02726914919912815;0.5783230125904083;0.27339105010032655;-0.17658221796154977;0.6125930696725845;0.501104474067688;-0.14306076802313328;0.5494144260883331;0.505859412252903;-0.1265721321105957;0.586864153544108;0.7132688363393148;0.14710084100564322;0.5717495282491049;0.7102336287498474;0.15648352603117624;;acercandose;frontal
0.4;0.574073851108551;0.2915647327899933;-0.1845282018184662;0.6077383756637573;0.33857470750808716;-0.07643205672502518;0.5500348210334778;0.34030815958976746;-0.0772913470864296;0.6174702644348145;0.4207281172275543;-0.04930252954363823;0.5448586940765381;0.42191752791404724;-0.048865094780921936;0.5969118475914001;0.49667420983314514;-0.002163272351026535;0.566473126411438;0.4978126883506775;0.002126081380993128;0.5926982760429382;0.6066251993179321;0.0108847850933671;0.5665901899337769;0.6080342531204224;0.02752411551773548;0.5783664584159851;0.273441743850708;-0.18747839629650115;0.6107882559299469;0.5015526935458183;-0.147823303937912;0.5489200204610825;0.5059019848704338;-0.13116843812167645;0.5867726802825928;0.7134679555892944;0.14908966422080994;0.5716267625490824;0.710247814655304;0.1582187389334043;;acercandose;frontal
0.43;0.5741866827011108;0.2915704846382141;-0.1834527850151062;0.6077262759208679;0.33838653564453125;-0.07539328187704086;0.550057590007782;0.3403054475784302;-0.07656020671129227;0.6171149015426636;0.4206918478012085;-0.04803295060992241;0.545012891292572;0.4219249486923218;-0.04766487330198288;0.5968025922775269;0.4965837597846985;-0.002481569768860936;0.5664170384407043;0.4978027045726776;0.0024465874303132296;0.5926845669746399;0.6063259840011597;0.01017802394926548;0.5665935277938843;0.6080265045166016;0.027912920340895653;0.5784534871578216;0.2734525799751282;-0.18644211888313295;0.6097161173820496;0.5017041116952896;-0.14746014028787613;0.5486458390951157;0.5059464946389198;-0.12966011092066765;0.5866920550664266;0.7137362559636434;0.14370330919822058;0.5714872280756632;0.710344672203064;0.1570301353931427;;acercandose;frontal
0.47;0.5742030739784241;0.2916119396686554;-0.18068312108516693;0.6077202558517456;0.338288277387619;-0.07478034496307373;0.5500689744949341;0.3403010666370392;-0.0741388276219368;0.6167848706245422;0.4206574857234955;-0.04732805863022804;0.5450284481048584;0.4218697249889374;-0.04576362669467926;0.5967645645141602;0.4965455234050751;-0.0026815468445420265;0.5664058923721313;0.49782124161720276;0.0026491039898246527;0.5926623940467834;0.6062230467796326;0.010140029713511467;0.5665948390960693;0.6081087589263916;0.028136326000094414;0.5784648895263672;0.27355406284332273;-0.1834360897541046;0.609265923500061;0.5016548782587051;-0.14689750969409943;0.5484068989753723;0.5059827119112015;-0.12800579704344273;0.5865899920463562;0.7139581441879272;0.14410285900036493;0.571338931719462;0.710469921429952;0.15667289247115454;;acercandose;frontal
0.5;0.5742216110229492;0.2916471064090729;-0.17742861807346344;0.6077145934104919;0.33821752667427063;-0.07253123819828033;0.5500648617744446;0.34030112624168396;-0.07177804410457611;0.6164844632148743;0.42062824964523315;-0.04716779291629791;0.5450348258018494;0.42184555530548096;-0.04422643780708313;0.5966912508010864;0.4965398609638214;-0.0028106498066335917;0.5663210153579712;0.4978368580341339;0.0027803138364106417;0.5926267504692078;0.606217086315155;0.009761983528733253;0.5665942430496216;0.6082820892333984;0.027895169332623482;0.5784772992134094;0.2736456423997879;-0.17993310689926148;0.6091279834508896;0.5017105415463448;-0.14658234640955925;0.5482282340526581;0.505931094288826;-0.12662622146308422;0.5865540703137716;0.7140961289405823;0.1428321674466133;0.5712171395619711;0.7105774879455566;0.15423628191153207;;acercandose;frontal
0.53;0.5742371678352356;0.29165321588516235;-0.17053458094596863;0.6076975464820862;0.33818113803863525;-0.0669155940413475;0.5500648617744446;0.3402897119522095;-0.0662745013833046;0.6162405014038086;0.42060476541519165;-0.044728949666023254;0.5450106859207153;0.4218035638332367;-0.040750160813331604;0.5965903401374817;0.49655139446258545;-0.0029629927594214678;0.5662186145782471;0.4978451430797577;0.0029353012796491385;0.5925914645195007;0.606389582157135;0.007526090834289789;0.566591739654541;0.6084722280502319;0.027612071484327316;0.5784926354885102;0.27365459203720094;-0.17264814227819442;0.6090880185365677;0.5017143189907074;-0.14583037793636322;0.5481575429439545;0.5058827847242355;-0.12407534196972847;0.5865287979443868;0.71415642897288;0.14104929318030676;0.5711264212926229;0.7106073101361593;0.15364218006531397;;acercandose;frontal
