segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;;Etiqueta;Vista
2.73;0.6143812537193298;0.3551129996776581;-0.1272139549255371;0.5880403518676758;0.4092952609062195;0.05298551917076111;0.5849306583404541;0.40931111574172974;-0.23493607342243195;0.5811114311218262;0.5221988558769226;0.07606818526983261;0.5765542387962341;0.52897709608078;-0.27134090662002563;0.596081018447876;0.6158578395843506;0.0901179164648056;0.588416576385498;0.6169629693031311;-0.09023481607437134;0.5942865014076233;0.751132071018219;0.18471258878707886;0.5852493643760681;0.7579969167709351;-0.0008677177247591317;0.610837435722351;0.3339492857456207;-0.11381596215069294;0.5810896307229996;0.6349591314792633;0.006487852544523776;0.5873372405767441;0.6450137794017792;-0.2771051228046417;0.5854875644048055;0.887497067451477;0.3104459245999654;0.5834962129592896;0.9105169971783956;0.10298571363091469;;girando;frontal
2.77;0.6144428849220276;0.3555462658405304;-0.12748396396636963;0.5895884037017822;0.40979957580566406;0.05021242797374725;0.5828133225440979;0.40933117270469666;-0.23210784792900085;0.5829576849937439;0.5220510959625244;0.0776723250746727;0.5732599496841431;0.5279123187065125;-0.2697655260562897;0.5992461442947388;0.6170610189437866;0.08864830434322357;0.5890251994132996;0.6170851588249207;-0.08877439051866531;0.5967470407485962;0.7515261769294739;0.18989762663841248;0.5876405239105225;0.7578779458999634;0.007642547599971294;0.6110359728336334;0.33409252762794495;-0.114516806229949;0.5824650228023529;0.6342907398939133;0.009654344874434173;0.5851505249738693;0.6449817568063736;-0.2836777865886688;0.5878836909929911;0.8868123292922974;0.3218775888284047;0.5856234232584635;0.9111854831377665;0.11834416538476944;;girando;frontal
2.8;0.6143584251403809;0.35691580176353455;-0.13619311153888702;0.5909579396247864;0.4101856052875519;0.04792683944106102;0.5812602043151855;0.40934115648269653;-0.2414383441209793;0.5882424116134644;0.5220122933387756;0.0834597572684288;0.5722425580024719;0.5274015665054321;-0.28184062242507935;0.6003426313400269;0.6187903881072998;0.0878785029053688;0.5890332460403442;0.6183644533157349;-0.08800216764211655;0.5989272594451904;0.7524572610855103;0.19989566504955292;0.590295135974884;0.759703516960144;0.013308828696608543;0.6111897528171539;0.33447671234607695;-0.12336288765072823;0.5931635349988937;0.6338364481925964;0.015631188289262354;0.5832509249448776;0.6452028900384903;-0.3002392202615738;0.5893343687057495;0.8855737447738647;0.3413593073685964;0.587287445863088;0.9109170238176981;0.13350915908813477;;girando;frontal
2.83;0.6142503023147583;0.35794341564178467;-0.1335577666759491;0.5995192527770996;0.4135960042476654;0.04637295380234718;0.5781257748603821;0.40990978479385376;-0.23598983883857727;0.5989062190055847;0.5233973860740662;0.09239960461854935;0.5706767439842224;0.5273624062538147;-0.27355578541755676;0.6056846976280212;0.6208186745643616;0.08615559339523315;0.5882514715194702;0.6205176711082458;-0.08620947599411011;0.605093240737915;0.7523559927940369;0.1882711499929428;0.5902084112167358;0.7615101933479309;0.008908085525035858;0.6112308740615845;0.3346903890371323;-0.12124161720275879;0.6124018281698227;0.632992297410965;0.03471723664551973;0.5819392055273056;0.6454905867576599;-0.2921629995107651;0.593780001004537;0.882516105969747;0.31008870402971905;0.588493824005127;0.9108991225560507;0.11812458435694377;;girando;frontal
2.87;0.614154577255249;0.357899934053421;-0.1279984563589096;0.6041321158409119;0.41642650961875916;0.04789798706769943;0.5764757990837097;0.4099780321121216;-0.22651056945323944;0.6085493564605713;0.5235980749130249;0.10217593610286713;0.5699018836021423;0.5257933735847473;-0.26135045289993286;0.6069437861442566;0.6209279894828796;0.08271311968564987;0.5870212316513062;0.6206483244895935;-0.08275352418422699;0.6063346862792969;0.7521217465400696;0.1754397749900818;0.5900322794914246;0.7613365054130554;0.005847040098160505;0.6113436043262481;0.3346827119588852;-0.11571504585444928;0.6264228522777557;0.6292014271020889;0.051503267139196396;0.579462394118309;0.6453608274459839;-0.27837833017110825;0.5977829297383627;0.8833436568578085;0.2922898729642232;0.5893887281417847;0.9097805817921957;0.11204084505637486;;girando;frontal
2.9;0.6141305565834045;0.35788094997406006;-0.11935239285230637;0.6087048649787903;0.4192013740539551;0.04868593439459801;0.574746310710907;0.40998968482017517;-0.2047295719385147;0.6153084635734558;0.5232486724853516;0.10166621953248978;0.56757652759552;0.5241253972053528;-0.2366296797990799;0.6087854504585266;0.6204739809036255;0.07515733689069748;0.5859947800636292;0.6204962134361267;-0.07520037889480591;0.609807014465332;0.7519410252571106;0.14514639973640442;0.5885393023490906;0.7611072659492493;-0.00240562716498971;0.611589229106903;0.3348024219274521;-0.1078750178217888;0.6329908668994904;0.6267344206571579;0.04970233514904976;0.5779826939105988;0.6452799588441849;-0.26125574856996536;0.6032640735308329;0.8850046396255493;0.24636451403299967;0.5887189706166586;0.9082923332850138;0.09360322852929433;;girando;frontal
2.93;0.6140269041061401;0.35859107971191406;-0.11710024625062943;0.611846923828125;0.419453889131546;0.04782171919941902;0.5734761357307434;0.40999922156333923;-0.18196909129619598;0.6210142374038696;0.5214582681655884;0.09638570994138718;0.5653584003448486;0.5240588188171387;-0.20862209796905518;0.6112241744995117;0.6202890276908875;0.06569095700979233;0.5861102342605591;0.6204157471656799;-0.06570730358362198;0.6109830737113953;0.751844584941864;0.10493045300245285;0.5867850184440613;0.7609613537788391;-0.02256094105541706;0.6120324313640595;0.3358212560415268;-0.1025940716266632;0.6370670050382614;0.6225647777318954;0.043031102046370506;0.5757599174976349;0.6447985172271729;-0.22780806943774223;0.606170137723287;0.8888837297757467;0.17983542879422507;0.587197482585907;0.9070387482643127;0.052088977730212115;;girando;frontal
2.97;0.6139912009239197;0.35855141282081604;-0.11562925577163696;0.6186734437942505;0.4192628264427185;0.04831606522202492;0.5722002387046814;0.410093754529953;-0.15857911109924316;0.6271961331367493;0.5183977484703064;0.09627250581979752;0.5621783137321472;0.5240801572799683;-0.17798785865306854;0.6144749522209167;0.6202213168144226;0.05803317949175835;0.586051881313324;0.6197490096092224;-0.058023229241371155;0.6133818030357361;0.7529359459877014;0.07822664827108383;0.585009753704071;0.7612848281860352;-0.031416960060596466;0.6122011840343475;0.3357959032058716;-0.09946001693606377;0.6436665952205658;0.6180461496114731;0.04108373075723648;0.5723867118358612;0.6446240246295929;-0.20718879625201225;0.6094932158788046;0.8906640013058981;0.1510205715894699;0.5876994927724203;0.9070156017939249;0.04073460182795922;;girando;frontal
3.0;0.6139758825302124;0.35795164108276367;-0.10475081205368042;0.6235033273696899;0.4192332327365875;0.04810481145977974;0.5719597339630127;0.41010209918022156;-0.13259068131446838;0.6296370625495911;0.5153283476829529;0.09463140368461609;0.5611266493797302;0.5237972736358643;-0.1472289264202118;0.6158787608146667;0.6185761094093323;0.049762558192014694;0.5857313871383667;0.6171961426734924;-0.04974135383963585;0.6151260733604431;0.7532052993774414;0.06801638007164001;0.5839349031448364;0.761201024055481;-0.030557582154870033;0.6124691367149353;0.33563055992126467;-0.09451445862650872;0.6477759331464767;0.607849046587944;0.03197691333480179;0.5688629746437073;0.6422347128391266;-0.18433396518230438;0.6116061409314474;0.8890537619590759;0.14199723054965338;0.5883319973945618;0.9059768716494242;0.043537055452664696;;girando;frontal
3.03;0.6139569282531738;0.3565545678138733;-0.1266644150018692;0.627751886844635;0.4194079637527466;0.03456253185868263;0.5705510377883911;0.41034427285194397;-0.12931792438030243;0.6367495656013489;0.5152638554573059;0.08306964486837387;0.5595552325248718;0.523029625415802;-0.13598763942718506;0.6167436242103577;0.6185001730918884;0.046941738575696945;0.5841037034988403;0.6171968579292297;-0.04691750183701515;0.6167418956756592;0.7579031586647034;0.053126830607652664;0.5826460719108582;0.762726902961731;-0.03508814424276352;0.6125840425491333;0.33447839617729186;-0.11832041516900063;0.660771518945694;0.6112253218889236;-0.005557236567256041;0.5663930773735046;0.6407139301300049;-0.18886644020676613;0.6119073033332825;0.8901311755180359;0.16314502557118735;0.5872093439102173;0.9058961272239685;0.05486413595887522;;girando;frontal
