segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;;Etiqueta
0.07;0.4836471974849701;0.31330955028533936;-0.18265722692012787;0.5212278366088867;0.3731216788291931;-0.04882955178618431;0.45927345752716064;0.36959579586982727;-0.059969354420900345;0.528376042842865;0.4701734483242035;-0.0021475600078701973;0.45013028383255005;0.46475040912628174;-0.028942668810486794;0.5084876418113708;0.5483002066612244;-0.0008454045746475458;0.46904656291007996;0.5487952828407288;0.0008285786607302725;0.5113700032234192;0.6939355731010437;-0.024025004357099533;0.4638166129589081;0.696791410446167;-0.017669137567281723;0.4892196625471115;0.2953099459409714;-0.18453859388828278;0.5301208049058914;0.577296182513237;-0.09222886711359024;0.4492972046136856;0.5770662575960159;-0.12282849289476871;0.5124990741411845;0.8432249029477438;0.054009679704904556;0.46123002966245014;0.8429954648017883;0.0560421741877993;;vertical
0.1;0.4839922785758972;0.3133186995983124;-0.18273618817329407;0.5212002992630005;0.3730678856372833;-0.048514075577259064;0.459180623292923;0.3697357475757599;-0.061416834592819214;0.5283710360527039;0.4703509211540222;-0.0011438869405537844;0.45065873861312866;0.4649643301963806;-0.030618812888860703;0.5082871913909912;0.5484743714332581;0.0005513402284123003;0.4689662456512451;0.5490320324897766;-0.0005712758284062147;0.5109843611717224;0.6929451823234558;-0.024438025429844856;0.464000940322876;0.6968675255775452;-0.01946346089243889;0.4894554644823074;0.2953154623508453;-0.18479657545685768;0.5305690914392471;0.5771758854389191;-0.09220074862241745;0.4493764787912369;0.5768648982048035;-0.12402458302676678;0.5119981567064921;0.8421945770581564;0.060520604718476534;0.46155430873235065;0.8432687123616537;0.05908628677328428;;vertical
0.13;0.4842625856399536;0.31332433223724365;-0.1827734112739563;0.5211998224258423;0.3730577230453491;-0.047958239912986755;0.4591705799102783;0.36985617876052856;-0.06178639456629753;0.5283599495887756;0.4706593453884125;-0.0007204653811641037;0.4509797990322113;0.46508896350860596;-0.031216086819767952;0.5080910325050354;0.5485846996307373;0.0012563264463096857;0.4688889980316162;0.549240231513977;-0.0012765568681061268;0.5107490420341492;0.6918497681617737;-0.025182561948895454;0.46415722370147705;0.6971833109855652;-0.0206538625061512;0.48965948522090913;0.2953126549720764;-0.18483951538801194;0.5308103561401367;0.5771148800849915;-0.09209181368350983;0.4494786784052849;0.5768650621175766;-0.12418932281434536;0.5117510755856832;0.8413828214009603;0.0624414641254892;0.46184949080149335;0.8436292211214701;0.060214020777493715;;vertical
0.17;0.4844587743282318;0.3133383095264435;-0.18255341053009033;0.5212389826774597;0.3729933798313141;-0.04762681573629379;0.4591728448867798;0.36995527148246765;-0.06204356625676155;0.5283603668212891;0.47071573138237;-0.00039497553370893;0.4511782228946686;0.46505388617515564;-0.031603362411260605;0.5080747604370117;0.5486233830451965;0.0017035442870110273;0.46888700127601624;0.5493229031562805;-0.0017238518921658397;0.5105020999908447;0.6907422542572021;-0.023579152300953865;0.46438559889793396;0.6969619393348694;-0.020530764013528824;0.48979080021381377;0.2953157275915146;-0.1846807897090912;0.5309993326663971;0.5770861059427261;-0.09097073413431644;0.44959506392478943;0.5766362994909286;-0.12385514006018639;0.5116273562113444;0.8405748804410299;0.06131479423493147;0.46203142404556274;0.8437288204828898;0.05839039571583271;;vertical
0.2;0.48457178473472595;0.3133276700973511;-0.18244358897209167;0.521307110786438;0.37289464473724365;-0.04758879542350769;0.4591761529445648;0.36999788880348206;-0.06203697249293327;0.5283533334732056;0.47073894739151;-0.0002219664165750146;0.4512145221233368;0.4648524522781372;-0.03157602995634079;0.5080555081367493;0.5486392974853516;0.0020314734429121017;0.46886271238327026;0.5493642091751099;-0.002053852891549468;0.5103964805603027;0.6907093524932861;-0.023531781509518623;0.4646795690059662;0.6969509124755859;-0.020655501633882523;0.4898897081613541;0.2952821522951126;-0.18468667790293694;0.5310762077569962;0.5770111680030823;-0.09042592905461788;0.44968773424625397;0.5765239000320435;-0.12309381552040577;0.5116076866785685;0.8403242230415344;0.06179834653933843;0.46212971210479736;0.8437432448069254;0.05902607956280311;;vertical
0.23;0.4846346974372864;0.31332090497016907;-0.17996209859848022;0.5213826298713684;0.3727914094924927;-0.04638157784938812;0.4591779112815857;0.37005022168159485;-0.05980402231216431;0.5283448100090027;0.4708271026611328;0.0003549274115357548;0.45124369859695435;0.4648345112800598;-0.029767194762825966;0.5080559849739075;0.5487735271453857;0.0019311809446662664;0.4688579738140106;0.5495086908340454;-0.001953389262780547;0.5103042721748352;0.6907432079315186;-0.024284860119223595;0.46485188603401184;0.697075605392456;-0.020652392879128456;0.4899853110313416;0.2952670603990555;-0.182297170907259;0.5311009734869003;0.5769972056150436;-0.08987380564212799;0.4497648924589157;0.5764852613210678;-0.12065184861421585;0.5115996400515238;0.8401058713595072;0.062577191585054;0.46218497554461163;0.8438260356585184;0.06046792507792512;;vertical
0.27;0.4846607446670532;0.31325191259384155;-0.18012113869190216;0.5214018225669861;0.37256792187690735;-0.046765755861997604;0.4591844081878662;0.370108038187027;-0.05937991663813591;0.5282949805259705;0.4708269536495209;3,45E+11;0.45130664110183716;0.46476227045059204;-0.02933383919298649;0.508065938949585;0.5487746596336365;0.0018298827344551682;0.4688621759414673;0.5495313405990601;-0.0018518309807404876;0.5102715492248535;0.6907123923301697;-0.02474878914654255;0.465021550655365;0.6971470713615417;-0.020628029480576515;0.49004044234752653;0.2952169209718704;-0.18246467486023904;0.5311361849308014;0.5769499242305756;-0.09027824178338051;0.44995740056037903;0.5764817297458649;-0.12020927853882313;0.5116225679715475;0.8397000432014465;0.06278234642619888;0.4622963070869446;0.8440320094426473;0.06052139416957895;;vertical
0.3;0.48469099402427673;0.31318989396095276;-0.18033535778522491;0.5214498043060303;0.37242260575294495;-0.04704052954912186;0.45920100808143616;0.3701111674308777;-0.05943203717470169;0.5282794833183289;0.47088974714279175;-0.000758017529733479;0.45132720470428467;0.46469593048095703;-0.029347646981477737;0.5081207156181335;0.5487412810325623;0.0017562833381816745;0.46889787912368774;0.5495193004608154;-0.0017781250644475222;0.5102564692497253;0.6905305981636047;-0.024636831134557724;0.46528762578964233;0.6971380114555359;-0.02053813450038433;0.49010892808437345;0.29518777430057525;-0.1826566033065319;0.5312076807022095;0.5769623219966888;-0.09078337624669075;0.4501160681247711;0.5764931887388229;-0.12006834708154202;0.5116767684618632;0.8391385873158773;0.06219040253199637;0.4623626967271169;0.8440685073534647;0.05982681425909201;;vertical
0.33;0.48470181226730347;0.31313401460647583;-0.1808236986398697;0.5215005874633789;0.37227386236190796;-0.04784592613577843;0.45923885703086853;0.3701033592224121;-0.059517644345760345;0.5282553434371948;0.47093623876571655;-0.0015628617256879807;0.4514508545398712;0.4644189476966858;-0.029436059296131134;0.5082021951675415;0.5485572814941406;0.0017011298332363367;0.46897733211517334;0.5493589639663696;-0.0017228178912773728;0.5102541446685791;0.6903771162033081;-0.024534624069929123;0.4654594361782074;0.6970306634902954;-0.020488876849412918;0.49014544785022734;0.2951667279005051;-0.18331997096538544;0.5312657505273819;0.576954796910286;-0.09172863140702248;0.4503452777862549;0.5763354599475861;-0.12012524716556072;0.5117216110229492;0.8388946453730265;0.06149076701452335;0.4624398946762085;0.8440905412038168;0.05966234424461921;;vertical
0.37;0.48471781611442566;0.3131289780139923;-0.18078412115573883;0.5215694308280945;0.3721948266029358;-0.047832295298576355;0.45925644040107727;0.37010517716407776;-0.05951527878642082;0.5282790064811707;0.4710344076156616;-0.0014494366478174925;0.45155227184295654;0.46438854932785034;-0.02944680117070675;0.5082529783248901;0.5484035611152649;0.0016694177174940705;0.46904057264328003;0.5492602586746216;-0.001691357814706862;0.5102238655090332;0.6898795962333679;-0.023888664320111275;0.46554461121559143;0.6968793272972107;-0.02043726108968258;0.4901704370975494;0.2951618582010269;-0.1832862302660942;0.5313572287559509;0.5769220590591431;-0.09158016368746758;0.4504898861050606;0.5761777460575104;-0.1202067919075489;0.5117800831794739;0.8383248051007589;0.06120906211435795;0.4625122547149658;0.8440906802813212;0.059540784607330956;;vertical
