segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;;Etiqueta
0.03;0.5359315276145935;0.1820259839296341;-0.1991473287343979;0.5726146697998047;0.22865913808345795;-0.09267853200435638;0.5144904255867004;0.22801004350185394;-0.09431815892457962;0.5776609778404236;0.31375545263290405;-0.043467383831739426;0.5075824856758118;0.30763378739356995;-0.057482242584228516;0.5575056672096252;0.3863278329372406;-0.0006606451352126896;0.5273867845535278;0.3875488042831421;0.0005841639940626919;0.5500438213348389;0.49300849437713623;0.038814809173345566;0.5297260880470276;0.4930029809474945;0.04025400057435036;0.541182953119278;0.1638975813984871;-0.2036798730492592;0.5762705951929092;0.3949131742119789;-0.10863015428185463;0.5069797188043594;0.39236829429864883;-0.12307830154895782;0.5456675092379252;0.5970266262690226;0.18001629412174225;0.5325191418329874;0.5915462573369344;0.17863024274508157;;acercandose
0.07;0.5362856388092041;0.18202091753482819;-0.19099514186382294;0.5725566744804382;0.22900548577308655;-0.08673510700464249;0.5143080949783325;0.22745083272457123;-0.08999600261449814;0.5777691602706909;0.3137994706630707;-0.04347413778305054;0.5070980191230774;0.30735889077186584;-0.05773189291357994;0.5574308633804321;0.3860494792461395;-0.0011181323789060116;0.527180016040802;0.38524433970451355;0.0010558360954746604;0.5506635308265686;0.4916532635688782;0.02375825121998787;0.5295324921607971;0.4919549524784088;0.033452145755290985;0.5412716269493103;0.16406592726707458;-0.1948690339922905;0.5762319266796112;0.3947984129190445;-0.11315019242465496;0.507656529545784;0.392353817820549;-0.12429541349411011;0.5459176699320475;0.5974120100339254;0.13418727119763693;0.5329294403394064;0.5894615848859152;0.15209345271190008;;acercandose
0.1;0.536408543586731;0.1820075958967209;-0.1850677728652954;0.5724128484725952;0.22918203473091125;-0.08145167678594589;0.5141896605491638;0.2270784080028534;-0.08608891069889069;0.5777366757392883;0.31382736563682556;-0.041174910962581635;0.5068325400352478;0.30719056725502014;-0.05714981630444527;0.557258665561676;0.38579466938972473;-0.0011666653444990516;0.5268704295158386;0.3838489353656769;0.001107703661546111;0.5509514212608337;0.49090510606765747;0.020032063126564026;0.5294206142425537;0.49113184213638306;0.027991263195872307;0.5412635624408721;0.16416188180446625;-0.18891890347003937;0.5759656876325607;0.39502187073230743;-0.11295978724956512;0.5078294575214386;0.39239583164453506;-0.12410805746912956;0.5459973613421122;0.597571074962616;0.13091677675644556;0.5330288410186768;0.5893568396568298;0.14172514279683432;;acercandose
0.13;0.5364476442337036;0.18199576437473297;-0.18450799584388733;0.5723806619644165;0.22924624383449554;-0.08037129789590836;0.5141135454177856;0.22663894295692444;-0.08510293811559677;0.5777371525764465;0.3138236701488495;-0.04016787186264992;0.5066622495651245;0.30695322155952454;-0.05665549635887146;0.557158350944519;0.38566213846206665;-0.0011775941820815206;0.5266566276550293;0.38297393918037415;0.0011204674374312162;0.551214337348938;0.49045753479003906;0.016962751746177673;0.5293084383010864;0.4904071092605591;0.024906545877456665;0.5412208437919617;0.1641884922981262;-0.1885448157787323;0.5757621377706528;0.395155169069767;-0.11277883313596249;0.5078391879796982;0.3921402841806412;-0.12410053052008152;0.5460365414619446;0.5977304180463155;0.12969791889190674;0.5331681569417318;0.5894370079040527;0.13862887769937515;;acercandose
0.17;0.5365865230560303;0.18200050294399261;-0.18688498437404633;0.5723138451576233;0.2292444109916687;-0.08207821100950241;0.5139738321304321;0.2263990193605423;-0.08533238619565964;0.5776468515396118;0.3137595057487488;-0.040358781814575195;0.5065308809280396;0.30687448382377625;-0.0589662529528141;0.5570521950721741;0.3854658901691437;-0.0011272644624114037;0.5264562368392944;0.3824370801448822;0.0010742847807705402;0.551362931728363;0.49015381932258606;0.017531823366880417;0.5291762948036194;0.4898519217967987;0.02441711165010929;0.5412235856056213;0.16426483541727066;-0.19094897210597991;0.5753838121891022;0.3952135294675827;-0.1123550608754158;0.5078238993883133;0.3919716626405716;-0.1270791795104742;0.546100934346517;0.5975912014643351;0.13209799180428186;0.5331750909487406;0.589583178361257;0.13856609414021173;;acercandose
0.2;0.5367492437362671;0.1820472776889801;-0.18830826878547668;0.5723133683204651;0.22922690212726593;-0.0825536921620369;0.5139493942260742;0.22609944641590118;-0.08626960217952728;0.5776587724685669;0.3134930729866028;-0.039786700159311295;0.5063839554786682;0.3065648078918457;-0.05910322815179825;0.5569847226142883;0.3852151036262512;-0.0011255057761445642;0.5262994766235352;0.38202965259552;0.0010722303995862603;0.5513739585876465;0.48988401889801025;0.016609176993370056;0.5290350317955017;0.4897811710834503;0.02368897572159767;0.5412474751472474;0.16437161713838577;-0.19232226610183717;0.5750466287136078;0.39470532536506653;-0.11081462912261486;0.5074436664581299;0.3916861191391945;-0.12762370146811008;0.5461022655169169;0.5975473324457804;0.1296840930978457;0.5331507126490275;0.5898395776748657;0.13645226508378983;;acercandose
0.23;0.5368351936340332;0.1822541356086731;-0.1890958547592163;0.5723230838775635;0.2292410284280777;-0.08318568766117096;0.5139366984367371;0.22594161331653595;-0.08702872693538666;0.5776646733283997;0.3133032023906708;-0.03984149545431137;0.5063831210136414;0.3064935803413391;-0.0589231438934803;0.5568807721138;0.3850311040878296;-0.0013640080578625202;0.5261883735656738;0.3818207085132599;0.0013157087378203869;0.5513663291931152;0.4896894693374634;0.015341580845415592;0.5289619565010071;0.48972079157829285;0.024409828707575798;0.5412639796733856;0.16463684141635895;-0.1930665999650955;0.5746815353631973;0.3946414291858673;-0.1109284944832325;0.506889596581459;0.3915048837661743;-0.12755617499351501;0.5460834503173828;0.5974823037783304;0.1291170467933019;0.5331145326296488;0.5899995168050131;0.13788986454407373;;acercandose
0.27;0.5368647575378418;0.18242552876472473;-0.18929976224899292;0.5723321437835693;0.22924254834651947;-0.08350897580385208;0.5139362215995789;0.2256801426410675;-0.08631551265716553;0.5776819586753845;0.31319695711135864;-0.04246098920702934;0.5063824653625488;0.30633780360221863;-0.05676719546318054;0.5568068623542786;0.38482508063316345;-0.0019866707734763622;0.5260866284370422;0.381589412689209;0.0019435599679127336;0.5513527393341064;0.4896879494190216;0.013626123778522015;0.5287941098213196;0.4896133542060852;0.02501250058412552;0.5412659227848053;0.16487825512886048;-0.1935884401202202;0.574419379234314;0.39458833634853363;-0.11402201652526855;0.5064648389816284;0.3913218677043915;-0.1270331833511591;0.5460911989212036;0.5973422129948934;0.1260420878728231;0.5330143372217814;0.5901855031649271;0.13729915767908096;;acercandose
0.3;0.5368645191192627;0.18250909447669983;-0.18767501413822174;0.5723341703414917;0.2291950285434723;-0.08379607647657394;0.5139519572257996;0.22549819946289062;-0.08337896317243576;0.5777109861373901;0.31306585669517517;-0.04441669210791588;0.5064219832420349;0.30608800053596497;-0.05188941955566406;0.5566248297691345;0.38416051864624023;-0.0029163393191993237;0.5258963704109192;0.3808061480522156;0.0028731380589306355;0.551277756690979;0.489482581615448;0.011729089543223381;0.5286887288093567;0.4890997111797333;0.025310788303613663;0.5412383735179901;0.16500802636146544;-0.19249833673238753;0.5743069052696228;0.39422859996557236;-0.11689769104123116;0.506288468837738;0.3908598944544792;-0.1231723316013813;0.5459848046302795;0.5973239342371622;0.1203585018714269;0.5328807632128397;0.5902309020360311;0.13516362756490707;;acercandose
0.33;0.5368783473968506;0.1825697124004364;-0.18709434568881989;0.5724118947982788;0.22917583584785461;-0.08437290787696838;0.5140854716300964;0.22539874911308289;-0.08223287016153336;0.5777897238731384;0.31302326917648315;-0.046820104122161865;0.5064248442649841;0.3058638870716095;-0.05006574094295502;0.5565650463104248;0.3840373158454895;-0.003533639246597886;0.5258775353431702;0.3807646632194519;0.0034913234412670135;0.5512506365776062;0.4893988370895386;0.012710047885775566;0.5285710096359253;0.488915354013443;0.025831375271081924;0.5411875963211059;0.16515524983406066;-0.19214743971824647;0.5742369741201401;0.394088052213192;-0.11876894719898701;0.5062454491853714;0.3903973028063774;-0.12063271179795265;0.5459455251693726;0.5972320437431335;0.1234773447116216;0.5327456792195638;0.5903162956237793;0.1375804195801417;;acercandose
