segundo;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;cara_prom_x;cara_prom_y;cara_prom_z;mano_izquierda_prom_x;mano_izquierda_prom_y;mano_izquierda_prom_z;mano_derecha_prom_x;mano_derecha_prom_y;mano_derecha_prom_z;pie_izquierdo_prom_x;pie_izquierdo_prom_y;pie_izquierdo_prom_z;pie_derecho_prom_x;pie_derecho_prom_y;pie_derecho_prom_z;Etiqueta
0.53;0.4980940520763397;0.16212554275989532;-0.27378183603286743;0.5522921085357666;0.25814172625541687;-0.09986100345849991;0.4571370780467987;0.25394079089164734;-0.1178724616765976;0.5567774772644043;0.40824031829833984;-0.031170129776000977;0.44699957966804504;0.3985029458999634;-0.07484705001115799;0.5291362404823303;0.5102317333221436;0.0017104264115914702;0.47174176573753357;0.5123437643051147;-0.0017433686880394816;0.530689537525177;0.7178828716278076;-0.0011312449350953102;0.4699486494064331;0.7284383177757263;-0.0145712960511446;0.5059754759073257;0.13584813326597214;-0.27561421394348146;0.5609367042779922;0.558742880821228;-0.1334652490913868;0.44391268491744995;0.5573983639478683;-0.18463268503546715;0.5328733126322428;0.9246105949083964;0.07985704314584534;0.4656800429026286;0.9338808059692383;0.053607953091462456;alejandose
0.57;0.49814656376838684;0.16218216717243195;-0.2794492244720459;0.5523278117179871;0.2582544684410095;-0.10418844223022461;0.45717066526412964;0.25403305888175964;-0.12268023937940598;0.5568845272064209;0.4086652398109436;-0.0337371751666069;0.4470246732234955;0.39849936962127686;-0.07810212671756744;0.5291517972946167;0.5104237794876099;0.0017083765706047416;0.4717385768890381;0.5124335885047913;-0.0017412512097507715;0.5306758880615234;0.7186616659164429;-0.0011718389578163624;0.46995341777801514;0.7286244034767151;-0.014422465115785599;0.5060797750949859;0.1359410509467125;-0.28126717656850814;0.560992956161499;0.5594836473464966;-0.13481003232300282;0.4438987597823143;0.5582624971866608;-0.18604347482323647;0.532565693060557;0.9246875643730164;0.08099251861373584;0.46563270688056946;0.9340165058771769;0.05644892156124115;alejandose
0.6;0.4981694519519806;0.1621921956539154;-0.2817484736442566;0.5523967146873474;0.2584468126296997;-0.10753721743822098;0.4572855830192566;0.25407350063323975;-0.12373106181621552;0.557064950466156;0.40923506021499634;-0.0374322384595871;0.4470641613006592;0.3984930217266083;-0.07857275009155273;0.529187798500061;0.51053386926651;0.0015040516154840589;0.4717397093772888;0.5124472975730896;-0.0015462269075214863;0.5306379199028015;0.719400942325592;-0.0016611599130555987;0.4699561595916748;0.7287139892578125;-0.01390767004340887;0.5061837434768677;0.1359707921743393;-0.2835826575756073;0.56100133061409;0.5597555935382843;-0.1381582822650671;0.4438670575618744;0.5586771965026855;-0.1865241974592209;0.5321816007296244;0.9248480796813965;0.08065246744081378;0.46561332543691;0.9341057340304056;0.05749615654349327;alejandose
0.63;0.49821165204048157;0.1622009128332138;-0.2868557572364807;0.5524845719337463;0.2585592567920685;-0.11262963712215424;0.45748066902160645;0.2540819048881531;-0.12755748629570007;0.557167649269104;0.4099527895450592;-0.04272684454917908;0.4471960663795471;0.39840954542160034;-0.08176063746213913;0.5292269587516785;0.5105794668197632;0.0014244371559470892;0.4717479944229126;0.5124348402023315;-0.0014735161093994975;0.5306146740913391;0.7196698784828186;-0.0021227907855063677;0.46996012330055237;0.7286997437477112;-0.013639125041663647;0.5063520103693009;0.13598422557115555;-0.28893724232912066;0.5609963685274124;0.5601130872964859;-0.14208871312439442;0.443819098174572;0.558956116437912;-0.1888367459177971;0.5319191416104635;0.9249003529548645;0.08043678244575858;0.46559999386469525;0.9343085289001465;0.05815069004893303;alejandose
0.67;0.4982891082763672;0.16219843924045563;-0.29297134280204773;0.5526599287986755;0.25890782475471497;-0.1185622364282608;0.45772382616996765;0.25412169098854065;-0.1332029104232788;0.5572478175163269;0.41095006465911865;-0.04915231093764305;0.44730809330940247;0.39850175380706787;-0.0872364416718483;0.5292781591415405;0.5106313228607178;0.00141378294210881;0.4717629551887512;0.5124315023422241;-0.0014655319973826408;0.5305998921394348;0.7197858095169067;-0.0021489097271114588;0.46996718645095825;0.7286860346794128;-0.013305149972438812;0.5065374702215195;0.1359800636768341;-0.29522994309663775;0.5609874725341797;0.5605161786079407;-0.14773652702569962;0.4437643811106682;0.5592769682407379;-0.1932789944112301;0.5317721962928772;0.9249427318572998;0.08028197040160497;0.4655945301055908;0.9344882965087891;0.058650161450107895;alejandose
0.7;0.4984060227870941;0.16220170259475708;-0.29132771492004395;0.5528584718704224;0.2590387761592865;-0.11711835861206055;0.457951158285141;0.25418341159820557;-0.1319720447063446;0.5574420094490051;0.41133078932762146;-0.04852134361863136;0.4474577009677887;0.3988228738307953;-0.08645408600568771;0.5294539928436279;0.51070237159729;0.0014095042133703828;0.4718000590801239;0.5124806761741638;-0.0014625205658376217;0.5306004285812378;0.7198781967163086;-0.002170835854485631;0.469978004693985;0.7286744713783264;-0.013334022834897041;0.5067601174116134;0.13596909642219543;-0.2933510854840279;0.5609922558069229;0.5608701854944229;-0.1480658147484064;0.44372177869081497;0.5597200989723206;-0.1933450885117054;0.5315703550974528;0.9251452485720316;0.07962106292446454;0.4655900001525879;0.9347299138704935;0.05832646911342939;alejandose
0.73;0.49863752722740173;0.16219119727611542;-0.29043811559677124;0.553106427192688;0.2590503990650177;-0.11635761708021164;0.4581820070743561;0.25434455275535583;-0.13111713528633118;0.557763397693634;0.4116479158401489;-0.0479261614382267;0.4477050006389618;0.39973339438438416;-0.08568578958511353;0.5297644734382629;0.5110012292861938;0.001428253366611898;0.4719257056713104;0.5126097798347473;-0.0014838569331914186;0.5306134223937988;0.720142662525177;-0.0015511262463405728;0.46999868750572205;0.7286216616630554;-0.013438986614346504;0.5070761054754257;0.1359377920627594;-0.2923698529601097;0.5610161125659943;0.5618803948163986;-0.14808073081076145;0.4436324015259743;0.5598924309015274;-0.19312289729714394;0.5315165519714355;0.925307830174764;0.08060951484367251;0.4655870894591014;0.9348139762878418;0.058174364268779755;alejandose
0.77;0.4989868402481079;0.16215233504772186;-0.2930127680301666;0.5534431338310242;0.2588553726673126;-0.11868265271186829;0.4584754705429077;0.2544262707233429;-0.13287174701690674;0.5580843687057495;0.41168177127838135;-0.05060369148850441;0.4478107988834381;0.40102139115333557;-0.08654291927814484;0.530170202255249;0.5110406875610352;0.0016422218177467585;0.47215333580970764;0.5126345753669739;-0.0017040602397173643;0.5306551456451416;0.7201889157295227;-0.0006637679180130363;0.47002601623535156;0.7285351157188416;-0.014115690253674984;0.5074745357036591;0.13587234318256378;-0.2951858267188072;0.5610373020172119;0.562436655163765;-0.1505674049258232;0.4435746744275093;0.5600535273551941;-0.1932562105357647;0.5314827561378479;0.9252560138702393;0.08332266223927338;0.4655826489130656;0.9349391659100851;0.057277907927831016;alejandose
0.8;0.4993814527988434;0.16210491955280304;-0.29336822032928467;0.5538167953491211;0.25866132974624634;-0.11820975691080093;0.4586818218231201;0.2544460594654083;-0.13297824561595917;0.5583996772766113;0.41167744994163513;-0.05035652592778206;0.44793182611465454;0.40188872814178467;-0.08657919615507126;0.5304891467094421;0.5112394094467163;0.0021286988630890846;0.4723336100578308;0.5128390192985535;-0.002193794585764408;0.5307462811470032;0.7202339768409729;0.0015152146806940436;0.4700634181499481;0.7285104393959045;-0.01517789252102375;0.5079119354486465;0.13578858077526093;-0.2954104855656624;0.5610802322626114;0.5626164972782135;-0.15278979018330574;0.4435786008834839;0.5601809173822403;-0.19427655264735222;0.531451423962911;0.9249950249989828;0.09490403564025958;0.46559859315554303;0.9350995421409607;0.05856779714425405;alejandose
0.83;0.5000040531158447;0.1620621383190155;-0.2925623655319214;0.5540934801101685;0.25837644934654236;-0.11739940196275711;0.4591313898563385;0.2544597387313843;-0.13256919384002686;0.5585869550704956;0.4112679064273834;-0.0493587926030159;0.44816118478775024;0.40206238627433777;-0.08624004572629929;0.5310002565383911;0.5112441182136536;0.0026250274386256933;0.4727240204811096;0.5128427743911743;-0.002692531794309616;0.5309597849845886;0.7202693819999695;0.0017356034368276596;0.4702000916004181;0.7280405163764954;-0.01688086986541748;0.5085306018590927;0.13571998924016954;-0.29455679953098296;0.5612376779317856;0.5624965876340866;-0.15158062055706978;0.44360315054655075;0.5601332187652588;-0.1941220909357071;0.5314299861590067;0.9240572055180868;0.098066298601528;0.46564438939094543;0.9350997805595398;0.05878030136227608;alejandose
